initializing...
output file is /home/zzha/reporter_seq/tmp/cloud/1042_tag.csv
connecting to database ...schema is modencode_experiment_1042_data,public
database connected.
loading experiment ...done.
Celniker/RNA:83 574:Celniker/RNA:83 0 
Celniker/RNA:83 574:Celniker/RNA:83 1 
Celniker/RNA:83 574:Celniker/RNA:83 2 
Celniker/RNA:83 574:Celniker/RNA:83 3 
Celniker/RNA:83 574:Celniker/RNA:83 4 
Celniker/RNA:83 574:Celniker/RNA:83 5 
Celniker/RNA:83 574:Celniker/RNA:83 6 
Celniker/RNA:83 574:Celniker/RNA:83 7 
Celniker/RNA:83 574:Celniker/RNA:83 8 
Celniker/RNA:83 574:Celniker/RNA:83 9 
Celniker/RNA:83 574:Celniker/RNA:83 10 
Celniker/RNA:83 574:Celniker/RNA:83 11 
Celniker/RNA:83 574:Celniker/RNA:83 12 
Celniker/RNA:83 574:Celniker/RNA:83 13 
Celniker/RNA:83 574:Celniker/RNA:83 14 
Celniker/RNA:83 574:Celniker/RNA:83 15 
Celniker/RNA:83 574:Celniker/RNA:83 16 
Celniker/RNA:83 574:Celniker/RNA:83 17 
Celniker/RNA:83 574:Celniker/RNA:83 18 
Celniker/RNA:83 574:Celniker/RNA:83 19 
Celniker/RNA:83 574:Celniker/RNA:83 20 
Celniker/RNA:83 574:Celniker/RNA:83 21 
Celniker/RNA:83 574:Celniker/RNA:83 22 
Celniker/RNA:83 574:Celniker/RNA:83 23 
Celniker/RNA:83 574:Celniker/RNA:83 24 
Celniker/RNA:83 574:Celniker/RNA:83 25 
Celniker/RNA:83 574:Celniker/RNA:83 26 
Celniker/RNA:83 574:Celniker/RNA:83 27 
Celniker/RNA:83 574:Celniker/RNA:83 28 
Celniker/RNA:83 574:Celniker/RNA:83 29 
Celniker/RNA:83 574:Celniker/RNA:83 30 
Celniker/RNA:83 574:Celniker/RNA:83 31 
Celniker/RNA:83 574:Celniker/RNA:83 32 
Celniker/RNA:83 574:Celniker/RNA:83 33 
Celniker/RNA:83 574:Celniker/RNA:83 34 
Celniker/RNA:83 574:Celniker/RNA:83 35 
Celniker/RNA:83 574:Celniker/RNA:83 36 
Celniker/RNA:83 574:Celniker/RNA:83 37 
Celniker/RNA:83 574:Celniker/RNA:83 38 
Celniker/RNA:83 574:Celniker/RNA:83 39 
Celniker/RNA:83 574:Celniker/RNA:83 40 
Celniker/RNA:83 574:Celniker/RNA:83 41 
Celniker/RNA:83 574:Celniker/RNA:83 42 
Celniker/RNA:83 574:Celniker/RNA:83 43 
Celniker/RNA:83 574:Celniker/RNA:83 44 
Celniker/RNA:83 574:Celniker/RNA:83 45 
Celniker/RNA:83 574:Celniker/RNA:83 46 
Celniker/RNA:83 574:Celniker/RNA:83 47 
Celniker/RNA:83 574:Celniker/RNA:83 48 
Celniker/RNA:83 574:Celniker/RNA:83 49 
Celniker/RNA:83 574:Celniker/RNA:83 50 
Celniker/RNA:83 574:Celniker/RNA:83 51 
Celniker/RNA:83 574:Celniker/RNA:83 52 
Celniker/RNA:83 574:Celniker/RNA:83 53 
Celniker/RNA:83 574:Celniker/RNA:83 54 
Celniker/RNA:83 574:Celniker/RNA:83 55 
Celniker/RNA:83 574:Celniker/RNA:83 56 
Celniker/RNA:83 574:Celniker/RNA:83 57 
Celniker/RNA:83 574:Celniker/RNA:83 58 
Celniker/RNA:83 574:Celniker/RNA:83 59 
Celniker/RNA:83 574:Celniker/RNA:83 60 
Celniker/RNA:83 574:Celniker/RNA:83 61 
Celniker/RNA:83 574:Celniker/RNA:83 62 
Celniker/RNA:83 574:Celniker/RNA:83 63 
Celniker/RNA:83 574:Celniker/RNA:83 64 
Celniker/RNA:83 574:Celniker/RNA:83 65 
Celniker/RNA:83 574:Celniker/RNA:83 66 
Celniker/RNA:83 574:Celniker/RNA:83 67 
Celniker/RNA:83 574:Celniker/RNA:83 68 
Celniker/RNA:83 574:Celniker/RNA:83 69 
Celniker/RNA:83 574:Celniker/RNA:83 70 
Celniker/RNA:83 574:Celniker/RNA:83 71 
Celniker/RNA:83 574:Celniker/RNA:83 72 
Celniker/RNA:83 574:Celniker/RNA:83 73 
Celniker/RNA:83 574:Celniker/RNA:83 74 
Celniker/RNA:83 574:Celniker/RNA:83 75 
Celniker/RNA:83 574:Celniker/RNA:83 76 
Celniker/RNA:83 574:Celniker/RNA:83 77 
Celniker/RNA:83 574:Celniker/RNA:83 78 
Celniker/RNA:83 574:Celniker/RNA:83 79 
Celniker/RNA:83 574:Celniker/RNA:83 80 
Celniker/RNA:83 574:Celniker/RNA:83 81 
Celniker/RNA:83 574:Celniker/RNA:83 82 
Celniker/RNA:83 574:Celniker/RNA:83 83 
Celniker/RNA:83 574:Celniker/RNA:83 84 
Celniker/RNA:83 574:Celniker/RNA:83 85 
Celniker/RNA:83 574:Celniker/RNA:83 86 
Celniker/RNA:83 574:Celniker/RNA:83 87 
Celniker/RNA:83 574:Celniker/RNA:83 88 
Celniker/RNA:83 574:Celniker/RNA:83 89 
Celniker/RNA:83 574:Celniker/RNA:83 90 
Celniker/RNA:83 574:Celniker/RNA:83 91 
Celniker/RNA:83 574:Celniker/RNA:83 92 
Celniker/RNA:83 574:Celniker/RNA:83 93 
Celniker/RNA:83 574:Celniker/RNA:83 94 
Celniker/RNA:83 574:Celniker/RNA:83 95 
Celniker/RNA:83 574:Celniker/RNA:83 96 
Celniker/RNA:83 574:Celniker/RNA:83 97 
Celniker/RNA:83 574:Celniker/RNA:83 98 
Celniker/RNA:83 574:Celniker/RNA:83 99 
Celniker/RNA:83 574:Celniker/RNA:83 100 
Celniker/RNA:83 574:Celniker/RNA:83 101 
Celniker/RNA:83 574:Celniker/RNA:83 102 
Celniker/RNA:83 574:Celniker/RNA:83 103 
Celniker/RNA:83 574:Celniker/RNA:83 104 
Celniker/RNA:83 574:Celniker/RNA:83 105 
Celniker/RNA:83 574:Celniker/RNA:83 106 
Celniker/RNA:83 574:Celniker/RNA:83 107 
Celniker/RNA:83 574:Celniker/RNA:83 108 
Celniker/RNA:83 574:Celniker/RNA:83 109 
Celniker/RNA:83 574:Celniker/RNA:83 110 
Celniker/RNA:83 574:Celniker/RNA:83 111 
Celniker/RNA:83 574:Celniker/RNA:83 112 
Celniker/RNA:83 574:Celniker/RNA:83 113 
Celniker/RNA:83 574:Celniker/RNA:83 114 
Celniker/RNA:83 574:Celniker/RNA:83 115 
Celniker/RNA:83 574:Celniker/RNA:83 116 
Celniker/RNA:83 574:Celniker/RNA:83 117 
Celniker/RNA:83 574:Celniker/RNA:83 118 
Celniker/RNA:83 574:Celniker/RNA:83 119 
Celniker/RNA:83 574:Celniker/RNA:83 120 
Celniker/RNA:83 574:Celniker/RNA:83 121 
Celniker/RNA:83 574:Celniker/RNA:83 122 
Celniker/RNA:83 574:Celniker/RNA:83 123 
Celniker/RNA:83 574:Celniker/RNA:83 124 
Celniker/RNA:83 574:Celniker/RNA:83 125 
Celniker/RNA:83 574:Celniker/RNA:83 126 
Celniker/RNA:83 574:Celniker/RNA:83 127 
Celniker/RNA:83 574:Celniker/RNA:83 128 
Celniker/RNA:83 574:Celniker/RNA:83 129 
Celniker/RNA:83 574:Celniker/RNA:83 130 
Celniker/RNA:83 574:Celniker/RNA:83 131 
Celniker/RNA:83 574:Celniker/RNA:83 132 
Celniker/RNA:83 574:Celniker/RNA:83 133 
Celniker/RNA:83 574:Celniker/RNA:83 134 
Celniker/RNA:83 574:Celniker/RNA:83 135 
Celniker/RNA:83 574:Celniker/RNA:83 136 
Celniker/RNA:83 574:Celniker/RNA:83 137 
Celniker/RNA:83 574:Celniker/RNA:83 138 
Celniker/RNA:83 574:Celniker/RNA:83 139 
Celniker/RNA:83 574:Celniker/RNA:83 140 
Celniker/RNA:83 574:Celniker/RNA:83 141 
Celniker/RNA:83 574:Celniker/RNA:83 142 
Celniker/RNA:83 574:Celniker/RNA:83 143 
Celniker/RNA:83 574:Celniker/RNA:83 144 
Celniker/RNA:83 574:Celniker/RNA:83 145 
Celniker/RNA:83 574:Celniker/RNA:83 146 
Celniker/RNA:83 574:Celniker/RNA:83 147 
Celniker/RNA:83 574:Celniker/RNA:83 148 
Celniker/RNA:83 574:Celniker/RNA:83 149 
Celniker/RNA:83 574:Celniker/RNA:83 150 
Celniker/RNA:83 574:Celniker/RNA:83 151 
Celniker/RNA:83 574:Celniker/RNA:83 152 
Celniker/RNA:83 574:Celniker/RNA:83 153 
Celniker/RNA:83 574:Celniker/RNA:83 154 
Celniker/RNA:83 574:Celniker/RNA:83 155 
Celniker/RNA:83 574:Celniker/RNA:83 156 
Celniker/RNA:83 574:Celniker/RNA:83 157 
Celniker/RNA:83 574:Celniker/RNA:83 158 
Celniker/RNA:83 574:Celniker/RNA:83 159 
Celniker/RNA:83 574:Celniker/RNA:83 160 
Celniker/RNA:83 574:Celniker/RNA:83 161 
Celniker/RNA:83 574:Celniker/RNA:83 162 
Celniker/RNA:83 574:Celniker/RNA:83 163 
Celniker/RNA:83 574:Celniker/RNA:83 164 
Celniker/RNA:83 574:Celniker/RNA:83 165 
Celniker/RNA:83 574:Celniker/RNA:83 166 
Celniker/RNA:83 574:Celniker/RNA:83 167 
Celniker/RNA:83 574:Celniker/RNA:83 168 
Celniker/RNA:83 574:Celniker/RNA:83 169 
Celniker/RNA:83 574:Celniker/RNA:83 170 
Celniker/RNA:83 574:Celniker/RNA:83 171 
Celniker/RNA:83 574:Celniker/RNA:83 172 
Celniker/RNA:83 574:Celniker/RNA:83 173 
Celniker/RNA:83 574:Celniker/RNA:83 174 
Celniker/RNA:83 574:Celniker/RNA:83 175 
Celniker/RNA:83 574:Celniker/RNA:83 176 
Celniker/RNA:83 574:Celniker/RNA:83 177 
Celniker/RNA:83 574:Celniker/RNA:83 178 
Celniker/RNA:83 574:Celniker/RNA:83 179 
Celniker/RNA:83 574:Celniker/RNA:83 180 
Celniker/RNA:83 574:Celniker/RNA:83 181 
Celniker/RNA:83 574:Celniker/RNA:83 182 
Celniker/RNA:83 574:Celniker/RNA:83 183 
Celniker/RNA:83 574:Celniker/RNA:83 184 
Celniker/RNA:83 574:Celniker/RNA:83 185 
Celniker/RNA:83 574:Celniker/RNA:83 186 
Celniker/RNA:83 574:Celniker/RNA:83 187 
Celniker/RNA:83 574:Celniker/RNA:83 188 
Celniker/RNA:83 574:Celniker/RNA:83 189 
Celniker/RNA:83 574:Celniker/RNA:83 190 
Celniker/RNA:83 574:Celniker/RNA:83 191 
Celniker/RNA:83 574:Celniker/RNA:83 192 
Celniker/RNA:83 574:Celniker/RNA:83 193 
Celniker/RNA:83 574:Celniker/RNA:83 194 
Celniker/RNA:83 574:Celniker/RNA:83 195 
Celniker/RNA:83 574:Celniker/RNA:83 196 
Celniker/RNA:83 574:Celniker/RNA:83 197 
Celniker/RNA:83 574:Celniker/RNA:83 198 
Celniker/RNA:83 574:Celniker/RNA:83 199 
Celniker/RNA:83 574:Celniker/RNA:83 200 
Celniker/RNA:83 574:Celniker/RNA:83 201 
Celniker/RNA:83 574:Celniker/RNA:83 202 
Celniker/RNA:83 574:Celniker/RNA:83 203 
Celniker/RNA:83 574:Celniker/RNA:83 204 
Celniker/RNA:83 574:Celniker/RNA:83 205 
Celniker/RNA:83 574:Celniker/RNA:83 206 
Celniker/RNA:83 574:Celniker/RNA:83 207 
Celniker/RNA:83 574:Celniker/RNA:83 208 
Celniker/RNA:83 574:Celniker/RNA:83 209 
Celniker/RNA:83 574:Celniker/RNA:83 210 
Celniker/RNA:83 574:Celniker/RNA:83 211 
Celniker/RNA:83 574:Celniker/RNA:83 212 
Celniker/RNA:83 574:Celniker/RNA:83 213 
Celniker/RNA:83 574:Celniker/RNA:83 214 
Celniker/RNA:83 574:Celniker/RNA:83 215 
Celniker/RNA:83 574:Celniker/RNA:83 216 
Celniker/RNA:83 574:Celniker/RNA:83 217 
Celniker/RNA:83 574:Celniker/RNA:83 218 
Celniker/RNA:83 574:Celniker/RNA:83 219 
Celniker/RNA:83 574:Celniker/RNA:83 220 
Celniker/RNA:83 574:Celniker/RNA:83 221 
Celniker/RNA:83 574:Celniker/RNA:83 222 
Celniker/RNA:83 574:Celniker/RNA:83 223 
Celniker/RNA:83 574:Celniker/RNA:83 224 
Celniker/RNA:83 574:Celniker/RNA:83 225 
Celniker/RNA:83 574:Celniker/RNA:83 226 
Celniker/RNA:83 574:Celniker/RNA:83 227 
Celniker/RNA:83 574:Celniker/RNA:83 228 
Celniker/RNA:83 574:Celniker/RNA:83 229 
Celniker/RNA:83 574:Celniker/RNA:83 230 
Celniker/RNA:83 574:Celniker/RNA:83 231 
Celniker/RNA:83 574:Celniker/RNA:83 232 
Celniker/RNA:83 574:Celniker/RNA:83 233 
Celniker/RNA:83 574:Celniker/RNA:83 234 
Celniker/RNA:83 574:Celniker/RNA:83 235 
Celniker/RNA:83 574:Celniker/RNA:83 236 
Celniker/RNA:83 574:Celniker/RNA:83 237 
Celniker/RNA:83 574:Celniker/RNA:83 238 
Celniker/RNA:83 574:Celniker/RNA:83 239 
Celniker/RNA:83 574:Celniker/RNA:83 240 
Celniker/RNA:83 574:Celniker/RNA:83 241 
Celniker/RNA:83 574:Celniker/RNA:83 242 
Celniker/RNA:83 574:Celniker/RNA:83 243 
Celniker/RNA:83 574:Celniker/RNA:83 244 
Celniker/RNA:83 574:Celniker/RNA:83 245 
Celniker/RNA:83 574:Celniker/RNA:83 246 
Celniker/RNA:83 574:Celniker/RNA:83 247 
Celniker/RNA:83 574:Celniker/RNA:83 248 
Celniker/RNA:83 574:Celniker/RNA:83 249 
Celniker/RNA:83 574:Celniker/RNA:83 250 
Celniker/RNA:83 574:Celniker/RNA:83 251 
Celniker/RNA:83 574:Celniker/RNA:83 252 
Celniker/RNA:83 574:Celniker/RNA:83 253 
Celniker/RNA:83 574:Celniker/RNA:83 254 
Celniker/RNA:83 574:Celniker/RNA:83 255 
Celniker/RNA:83 574:Celniker/RNA:83 256 
Celniker/RNA:83 574:Celniker/RNA:83 257 
Celniker/RNA:83 574:Celniker/RNA:83 258 
Celniker/RNA:83 574:Celniker/RNA:83 259 
Celniker/RNA:83 574:Celniker/RNA:83 260 
Celniker/RNA:83 574:Celniker/RNA:83 261 
Celniker/RNA:83 574:Celniker/RNA:83 262 
Celniker/RNA:83 574:Celniker/RNA:83 263 
Celniker/RNA:83 574:Celniker/RNA:83 264 
Celniker/RNA:83 574:Celniker/RNA:83 265 
Celniker/RNA:83 574:Celniker/RNA:83 266 
Celniker/RNA:83 574:Celniker/RNA:83 267 
Celniker/RNA:83 574:Celniker/RNA:83 268 
Celniker/RNA:83 574:Celniker/RNA:83 269 
Celniker/RNA:83 574:Celniker/RNA:83 270 
Celniker/RNA:83 574:Celniker/RNA:83 271 
Celniker/RNA:83 574:Celniker/RNA:83 272 
Celniker/RNA:83 574:Celniker/RNA:83 273 
Celniker/RNA:83 574:Celniker/RNA:83 274 
Celniker/RNA:83 574:Celniker/RNA:83 275 
Celniker/RNA:83 574:Celniker/RNA:83 276 
Celniker/RNA:83 574:Celniker/RNA:83 277 
Celniker/RNA:83 574:Celniker/RNA:83 278 
Celniker/RNA:83 574:Celniker/RNA:83 279 
Celniker/RNA:83 574:Celniker/RNA:83 280 
Celniker/RNA:83 574:Celniker/RNA:83 281 
Celniker/RNA:83 574:Celniker/RNA:83 282 
Celniker/RNA:83 574:Celniker/RNA:83 283 
Celniker/RNA:83 574:Celniker/RNA:83 284 
Celniker/RNA:83 574:Celniker/RNA:83 285 
Celniker/RNA:83 574:Celniker/RNA:83 286 
Celniker/RNA:83 574:Celniker/RNA:83 287 
Celniker/RNA:83 574:Celniker/RNA:83 288 
Celniker/RNA:83 574:Celniker/RNA:83 289 
Celniker/RNA:83 574:Celniker/RNA:83 290 
Celniker/RNA:83 574:Celniker/RNA:83 291 
Celniker/RNA:83 574:Celniker/RNA:83 292 
Celniker/RNA:83 574:Celniker/RNA:83 293 
Celniker/RNA:83 574:Celniker/RNA:83 294 
Celniker/RNA:83 574:Celniker/RNA:83 295 
Celniker/RNA:83 574:Celniker/RNA:83 296 
Celniker/RNA:83 574:Celniker/RNA:83 297 
Celniker/RNA:83 574:Celniker/RNA:83 298 
Celniker/RNA:83 574:Celniker/RNA:83 299 
Celniker/RNA:83 574:Celniker/RNA:83 300 
Celniker/RNA:83 574:Celniker/RNA:83 301 
Celniker/RNA:83 574:Celniker/RNA:83 302 
Celniker/RNA:83 574:Celniker/RNA:83 303 
Celniker/RNA:83 574:Celniker/RNA:83 304 
Celniker/RNA:83 574:Celniker/RNA:83 305 
Celniker/RNA:83 574:Celniker/RNA:83 306 
Celniker/RNA:83 574:Celniker/RNA:83 307 
Celniker/RNA:83 574:Celniker/RNA:83 308 
Celniker/RNA:83 574:Celniker/RNA:83 309 
Celniker/RNA:83 574:Celniker/RNA:83 310 
Celniker/RNA:83 574:Celniker/RNA:83 311 
Celniker/RNA:83 574:Celniker/RNA:83 312 
Celniker/RNA:83 574:Celniker/RNA:83 313 
Celniker/RNA:83 574:Celniker/RNA:83 314 
Celniker/RNA:83 574:Celniker/RNA:83 315 
Celniker/RNA:83 574:Celniker/RNA:83 316 
Celniker/RNA:83 574:Celniker/RNA:83 317 
Celniker/RNA:83 574:Celniker/RNA:83 318 
Celniker/RNA:83 574:Celniker/RNA:83 319 
Celniker/RNA:83 574:Celniker/RNA:83 320 
Celniker/RNA:83 574:Celniker/RNA:83 321 
Celniker/RNA:83 574:Celniker/RNA:83 322 
Celniker/RNA:83 574:Celniker/RNA:83 323 
Celniker/RNA:83 574:Celniker/RNA:83 324 
Celniker/RNA:83 574:Celniker/RNA:83 325 
Celniker/RNA:83 574:Celniker/RNA:83 326 
Celniker/RNA:83 574:Celniker/RNA:83 327 
Celniker/RNA:83 574:Celniker/RNA:83 328 
Celniker/RNA:83 574:Celniker/RNA:83 329 
Celniker/RNA:83 574:Celniker/RNA:83 330 
Celniker/RNA:83 574:Celniker/RNA:83 331 
Celniker/RNA:83 574:Celniker/RNA:83 332 
Celniker/RNA:83 574:Celniker/RNA:83 333 
Celniker/RNA:83 574:Celniker/RNA:83 334 
Celniker/RNA:83 574:Celniker/RNA:83 335 
Celniker/RNA:83 574:Celniker/RNA:83 336 
Celniker/RNA:83 574:Celniker/RNA:83 337 
Celniker/RNA:83 574:Celniker/RNA:83 338 
Celniker/RNA:83 574:Celniker/RNA:83 339 
Celniker/RNA:83 574:Celniker/RNA:83 340 
Celniker/RNA:83 574:Celniker/RNA:83 341 
Celniker/RNA:83 574:Celniker/RNA:83 342 
Celniker/RNA:83 574:Celniker/RNA:83 343 
Celniker/RNA:83 574:Celniker/RNA:83 344 
Celniker/RNA:83 574:Celniker/RNA:83 345 
Celniker/RNA:83 574:Celniker/RNA:83 346 
