DCC id	Title	Data File	Data Filepath	Level 1 <organism>	Level 2 <Target>	Level 3 <Technique>	Level 4 <File Format>	Filename <Factor>	Filename <Condition>	Filename <Technique>	Filename <ReplicateSetNum>	Filename <ChIP>	Filename <label>	Filename <Build>	Filename <Modencode ID>
387	L3_H3K4Me3	L3-K4Me3-1-251918410240.txt.gz	L3-K4Me3-1-251918410240.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	0	ChIP	cy3	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3-K4Me3-1-251918310288.txt.gz	L3-K4Me3-1-251918310288.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	0	ChIP	cy3	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3-K4Me3-1-251918210266.txt.gz	L3-K4Me3-1-251918210266.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	0	ChIP	cy3	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3-K4Me3-2-251918310289.txt.gz	L3-K4Me3-2-251918310289.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	1	input	cy5	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3-K4Me3-3-251918310290.txt.gz	L3-K4Me3-3-251918310290.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	1	input	cy5	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3-K4Me3-3-251918410242.txt.gz	L3-K4Me3-3-251918410242.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	1	input	cy5	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3-K4Me3-2-251918410241.txt.gz	L3-K4Me3-2-251918410241.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	1	input	cy5	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3-K4Me3-3-251918210268.txt.gz	L3-K4Me3-3-251918210268.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	1	input	cy5	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3-K4Me3-2-251918210267.txt.gz	L3-K4Me3-2-251918210267.txt.gz	Dmel_r5.4	Histone-Modification	ChIP-chip	raw-arrayfile-agilent_txt	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	1	input	cy5	Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3_H3K4Me3_DCC_merged.wig	L3_H3K4Me3_DCC_merged.wig	Dmel_r5.4	Histone-Modification	ChIP-chip	normalized-arrayfile_wig	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	0			Dmel_r5.4	modENCODE_387
387	L3_H3K4Me3	L3_H3K4Me3_merged_dcc.gff	L3_H3K4Me3_merged_dcc.gff	Dmel_r5.4	Histone-Modification	ChIP-chip	computed-peaks_gff3	H3K4me3	Strain_Y cn bw sp;Developmental-Stage_L3	ChIP-chip	all			Dmel_r5.4	modENCODE_387
